video_id,category,title,title_length,title_word_count,has_number,has_question,has_exclamation,title_caps_ratio,tag_count,desc_length,publish_hour,publish_day,duration_sec,view_count,like_count,comment_count,view_median,view_std,views_z,viral_label,is_synthetic
SWekFUqVPnI,Technology,"नवीन Phones घेणं बंद करा! - Best Old Phones from Rs 20,000 to Rs 1,00,000.",74,15,1,0,1,0.081081081081081,21,1371.0,7,1,389,109428,2663.0,203.0,271836.5,2047479.7535149525,-0.0793211750793578,high,False
xJpyi7w9D5I,Technology,Top Upcoming Smartphones - June 2026🔥🔥🔥,39,6,1,0,0,0.1025641025641025,36,1649.0,12,4,215,49760,1670.0,94.0,271836.5,2047479.7535149525,-0.1084633435904587,medium,False
ky9MI-NSCE8,Technology,Best Smartphones Under 25000 in June 2026 | Don't Buy Wrong Phones! | Gizmo Gyan,80,15,1,0,1,0.125,18,1787.0,15,5,686,21703,786.0,82.0,271836.5,2047479.7535149525,-0.1221665315960221,medium,False
KyTOr65WH9s,Technology,Top 14+ Best Upcoming Phone Launches ⚡ June 2026,48,9,1,0,0,0.125,24,1792.0,10,0,492,332143,10675.0,770.0,271836.5,2047479.7535149525,0.0294540153066083,high,False
9dDIO9qLyF0,Technology,Top 5 Best Smartphones Under ₹20000 Budget ⚡ June 2026,54,10,1,0,0,0.1111111111111111,20,2285.0,7,4,350,298819,10272.0,747.0,271836.5,2047479.7535149525,0.0131783964914322,high,False
uVfLQ1ohieM,Technology,Best Smartphone under 25000 🔥🔥 Best Phone under 25000 | Phone under 25000,73,13,1,0,0,0.0684931506849315,16,960.0,12,5,648,14187,229.0,43.0,271836.5,2047479.7535149525,-0.1258373859656915,medium,False
o5hCb1IhrMA,Technology,"Top Best Smartphones Under ₹20,000 🔥 Best Budget Phones in 2026! 😳",66,12,1,0,1,0.106060606060606,0,1301.0,2,1,179,731764,29063.0,132.0,271836.5,2047479.7535149525,0.2246310368688299,high,False
kmDt4tf3mcQ,Technology,"Don't Buy Wrong Phones ❌ : Buy These Under ₹25,000 ✅",52,11,1,0,0,0.1346153846153846,21,1205.0,13,0,727,112297,3700.0,464.0,271836.5,2047479.7535149525,-0.0779199402221756,high,False
Hb3tKVnzQFQ,Technology,OnePlus Nord CE6 Lite 5G Review ✅ Best 5G Phone Under 20000,59,12,1,0,0,0.2033898305084746,21,478.0,5,6,30,278309,3299.0,20.0,271836.5,2047479.7535149525,0.0031612034203945,high,False
kRLwyZJAJYY,Technology,All in One Phone 🤯 motorola edge 70 fusion! #smartphone,55,10,1,0,1,0.0545454545454545,27,717.0,14,0,61,13812932,433754.0,819.0,271836.5,2047479.7535149525,6.613543052991714,viral,False
7ssyc13asa8,Technology,The Best Flagship Deal Right Now!,33,6,0,0,1,0.1818181818181818,1,225.0,11,2,74,502432,19716.0,326.0,271836.5,2047479.7535149525,0.1126240684940262,high,False
EShmdul-80g,Technology,Top 5 Best Smartphones Under ₹25000 Budget ⚡ April 2026,55,10,1,0,0,0.109090909090909,18,2420.0,7,5,446,928422,25121.0,1527.0,271836.5,2047479.7535149525,0.3206798498851212,high,False
